-3.341092e-03 8.902331e-03 2.214758e-02 3.836157e-02 5.963864e-02 8.732914e-02 1.216163e-01 1.616249e-01 2.058969e-01 2.529807e-01 3.018216e-01 3.518098e-01 4.026460e-01 4.542214e-01 5.065660e-01 5.597802e-01 6.137633e-01 6.678097e-01 7.214774e-01 7.781034e-01 8.493549e-01 9.097609e-01 8.973421e-01 7.200479e-01 2.653827e-01 4.379545e-02 6.493557e-03 8.893559e-04 8.522763e-05 -3.278934e-05 
-5.272728e-03 3.276825e-03 1.445646e-02 3.119139e-02 5.496926e-02 8.569598e-02 1.223392e-01 1.635741e-01 2.081623e-01 2.551172e-01 3.037372e-01 3.535570e-01 4.042734e-01 4.557035e-01 5.078050e-01 5.607245e-01 6.146007e-01 6.683747e-01 7.185002e-01 7.684179e-01 8.459525e-01 9.159979e-01 9.037168e-01 7.284083e-01 2.670296e-01 4.336791e-02 6.392252e-03 2.831608e-04 -3.591948e-04 -5.220050e-06 
-6.592143e-03 -3.264499e-04 9.619536e-03 2.661608e-02 5.176223e-02 8.418391e-02 1.222234e-01 1.643117e-01 2.092791e-01 2.563355e-01 3.049524e-01 3.547539e-01 4.054491e-01 4.568206e-01 5.087805e-01 5.614727e-01 6.151123e-01 6.684704e-01 7.169980e-01 7.649623e-01 8.439877e-01 9.183879e-01 9.071440e-01 7.335411e-01 2.695707e-01 4.344070e-02 6.254018e-03 1.238228e-04 -4.341134e-04 1.515144e-05 
-7.358247e-03 -1.763607e-03 7.789511e-03 2.482246e-02 5.033816e-02 8.325796e-02 1.217620e-01 1.642083e-01 2.094214e-01 2.566384e-01 3.053638e-01 3.552431e-01 4.059897e-01 4.573762e-01 5.092982e-01 5.618816e-01 6.153175e-01 6.683392e-01 7.165311e-01 7.643523e-01 8.435634e-01 9.194562e-01 9.087498e-01 7.359423e-01 2.714478e-01 4.366529e-02 6.260513e-03 1.469805e-04 -4.165001e-04 1.746668e-05 
-7.730118e-03 -2.034530e-03 7.528113e-03 2.452526e-02 5.000574e-02 8.291717e-02 1.214507e-01 1.639614e-01 2.092598e-01 2.565665e-01 3.053737e-01 3.553203e-01 4.061160e-01 4.575308e-01 5.094586e-01 5.620166e-01 6.153665e-01 6.682496e-01 7.164608e-01 7.644550e-01 8.437821e-01 9.200261e-01 9.094010e-01 7.368107e-01 2.721878e-01 4.379498e-02 6.298819e-03 1.730650e-04 -4.071725e-04 1.372894e-05 
-7.730118e-03 -2.034530e-03 7.528113e-03 2.452526e-02 5.000574e-02 8.291717e-02 1.214507e-01 1.639614e-01 2.092598e-01 2.565665e-01 3.053737e-01 3.553203e-01 4.061160e-01 4.575308e-01 5.094586e-01 5.620166e-01 6.153665e-01 6.682496e-01 7.164608e-01 7.644550e-01 8.437821e-01 9.200261e-01 9.094010e-01 7.368107e-01 2.721878e-01 4.379498e-02 6.298819e-03 1.730650e-04 -4.071725e-04 1.372894e-05 
-7.358247e-03 -1.763607e-03 7.789511e-03 2.482246e-02 5.033816e-02 8.325796e-02 1.217620e-01 1.642083e-01 2.094214e-01 2.566384e-01 3.053638e-01 3.552431e-01 4.059897e-01 4.573762e-01 5.092982e-01 5.618816e-01 6.153175e-01 6.683392e-01 7.165311e-01 7.643523e-01 8.435634e-01 9.194562e-01 9.087498e-01 7.359423e-01 2.714478e-01 4.366529e-02 6.260513e-03 1.469805e-04 -4.165001e-04 1.746668e-05 
-6.592143e-03 -3.264499e-04 9.619536e-03 2.661608e-02 5.176223e-02 8.418391e-02 1.222234e-01 1.643117e-01 2.092791e-01 2.563355e-01 3.049524e-01 3.547539e-01 4.054491e-01 4.568206e-01 5.087805e-01 5.614727e-01 6.151123e-01 6.684704e-01 7.169980e-01 7.649623e-01 8.439877e-01 9.183879e-01 9.071440e-01 7.335411e-01 2.695707e-01 4.344070e-02 6.254018e-03 1.238228e-04 -4.341134e-04 1.515144e-05 
-5.272728e-03 3.276825e-03 1.445646e-02 3.119139e-02 5.496926e-02 8.569598e-02 1.223392e-01 1.635741e-01 2.081623e-01 2.551172e-01 3.037372e-01 3.535570e-01 4.042734e-01 4.557035e-01 5.078050e-01 5.607245e-01 6.146007e-01 6.683747e-01 7.185002e-01 7.684179e-01 8.459525e-01 9.159979e-01 9.037168e-01 7.284083e-01 2.670296e-01 4.336791e-02 6.392252e-03 2.831608e-04 -3.591948e-04 -5.220050e-06 
-3.341092e-03 8.902331e-03 2.214758e-02 3.836157e-02 5.963864e-02 8.732914e-02 1.216163e-01 1.616249e-01 2.058969e-01 2.529807e-01 3.018216e-01 3.518098e-01 4.026460e-01 4.542214e-01 5.065660e-01 5.597802e-01 6.137633e-01 6.678097e-01 7.214774e-01 7.781034e-01 8.493549e-01 9.097609e-01 8.973421e-01 7.200479e-01 2.653827e-01 4.379545e-02 6.493557e-03 8.893559e-04 8.522763e-05 -3.278934e-05 
